employee_name,product_name,category,date,subtotal,tax_amount,total_amount,payment_method,discount_amount,promo_name,quantity,price_per_unit
Alice,Cinnamon Swirl,Donut,2025-01-01 19:28:14,2.0,0.12,2.12,Card,0.0,,2,1.0
Alice,Frosted Donut,Donut,2025-01-01 19:28:14,3.0,0.19,3.19,Card,0.0,,3,1.0
Alice,Donut Odyssey,Donut,2025-01-01 19:28:14,3.0,0.19,3.19,Card,0.0,,3,1.0
Frank,Chocolate Sprinkle,Donut,2025-01-01 10:10:23,2.0,0.12,2.12,Card,0.0,,2,1.0
Frank,Ham and Cheese,Hot Foods,2025-01-01 10:10:23,3.0,0.19,3.19,Card,0.0,,1,3.0
Frank,Sprite,Drinks,2025-01-01 10:10:23,4.0,0.25,4.25,Card,0.0,,2,2.0
Frank,Blueberry Donut Hole,Donut,2025-01-01 10:10:23,4.0,0.25,4.25,Card,0.0,,4,1.0
Frank,Croissant Hot Dog,Hot Foods,2025-01-01 10:10:23,12.0,0.75,12.75,Card,0.0,,4,3.0
Alice,Glaze Donut Hole,Donut,2025-01-01 05:01:59,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Cinnamon Swirl,Donut,2025-01-01 05:01:59,4.0,0.25,4.25,Card,0.0,,4,1.0
Alice,Blueberry,Donut,2025-01-01 05:01:59,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Biscuits,Hot Foods,2025-01-01 05:01:59,3.0,0.19,3.19,Card,0.0,,1,3.0
Alice,Biscuits,Hot Foods,2025-01-01 05:01:59,9.0,0.56,9.56,Card,0.0,,3,3.0
Charlie,Coke,Drinks,2025-01-01 09:27:59,2.0,0.12,2.12,Card,0.0,,1,2.0
Charlie,Glaze Donut Hole,Donut,2025-01-01 09:27:59,3.0,0.19,3.19,Card,0.0,,3,1.0
Charlie,Sprite,Drinks,2025-01-01 09:27:59,2.0,0.12,2.12,Card,0.0,,1,2.0
Bob,Starbucks Mocha,Drinks,2025-01-01 18:06:20,8.0,0.5,8.5,Card,0.0,,4,2.0
Hannah,Jalapeno Hot Dog,Hot Foods,2025-01-01 13:49:57,6.0,0.38,6.38,Card,6.0,BOGO,4,3.0
Charlie,Biscuits,Hot Foods,2025-01-01 14:59:06,3.0,0.19,3.19,Card,3.0,BOGO,2,3.0
Charlie,Croissant Hot Dog,Hot Foods,2025-01-01 14:59:06,3.0,0.19,3.19,Card,0.0,BOGO,1,3.0
Charlie,Cinnamon Swirl,Donut,2025-01-01 14:59:06,2.0,0.12,2.12,Card,2.0,BOGO,4,1.0
Charlie,Sprite,Drinks,2025-01-01 14:59:06,4.0,0.25,4.25,Card,0.0,BOGO,2,2.0
Hannah,Small Hot Dog,Hot Foods,2025-01-01 07:03:01,3.0,0.19,3.19,Card,3.0,WINTER SPECIAL,2,3.0
Hannah,Cinnamon Swirl,Donut,2025-01-01 07:03:01,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Grace,Glaze,Donut,2025-01-01 11:33:09,4.0,0.25,4.25,Card,0.0,,4,1.0
Grace,Starbucks Mocha,Drinks,2025-01-01 11:33:09,4.0,0.25,4.25,Card,0.0,,2,2.0
Grace,Chocolate,Donut,2025-01-01 11:33:09,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Donut Odyssey,Donut,2025-01-01 11:33:09,4.0,0.25,4.25,Card,0.0,,4,1.0
Bob,Ham and Cheese,Hot Foods,2025-01-01 07:20:15,6.0,0.38,6.38,Card,0.0,,2,3.0
Bob,Ham and Cheese,Hot Foods,2025-01-01 07:20:15,3.0,0.19,3.19,Card,0.0,,1,3.0
Bob,Biscuits,Hot Foods,2025-01-01 07:20:15,12.0,0.75,12.75,Card,0.0,,4,3.0
Bob,Coffee,Drinks,2025-01-01 07:20:15,8.0,0.5,8.5,Card,0.0,,4,2.0
Bob,Sprite,Drinks,2025-01-01 07:20:15,8.0,0.5,8.5,Card,0.0,,4,2.0
Frank,Chocolate Sprinkle,Donut,2025-01-01 12:40:28,4.0,0.25,4.25,Card,0.0,,4,1.0
Frank,Daring Donut,Donut,2025-01-01 12:40:28,1.0,0.06,1.06,Card,0.0,,1,1.0
Frank,Croissant Hot Dog,Hot Foods,2025-01-01 12:40:28,12.0,0.75,12.75,Card,0.0,,4,3.0
Frank,Coffee,Drinks,2025-01-01 12:40:28,8.0,0.5,8.5,Card,0.0,,4,2.0
Frank,Starbucks Caramel,Drinks,2025-01-01 12:40:28,8.0,0.5,8.5,Card,0.0,,4,2.0
Charlie,Jalapeno Hot Dog,Hot Foods,2025-01-01 10:50:16,6.0,0.38,6.38,Card,0.0,,2,3.0
Charlie,Tropicana,Drinks,2025-01-01 10:50:16,6.0,0.38,6.38,Card,0.0,,3,2.0
Charlie,Tropicana,Drinks,2025-01-01 10:50:16,4.0,0.25,4.25,Card,0.0,,2,2.0
Grace,Starbucks Mocha,Drinks,2025-01-01 08:27:06,8.0,0.5,8.5,Card,0.0,,4,2.0
Grace,Blueberry,Donut,2025-01-01 22:22:23,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Coffee,Drinks,2025-01-01 22:22:23,6.0,0.38,6.38,Card,0.0,,3,2.0
Grace,Redbull,Drinks,2025-01-01 22:22:23,2.0,0.12,2.12,Card,0.0,,1,2.0
Grace,Chocolate Donut Hole,Donut,2025-01-01 22:22:23,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Glaze Donut Hole,Donut,2025-01-01 22:22:23,1.0,0.06,1.06,Card,0.0,,1,1.0
Hannah,Coffee,Drinks,2025-01-01 14:13:02,2.0,0.12,2.12,Card,2.0,WINTER SPECIAL,2,2.0
Grace,Croissant Hot Dog,Hot Foods,2025-01-01 06:26:08,6.0,0.38,6.38,Card,3.0,BOGO,3,3.0
Grace,Blueberry,Donut,2025-01-01 06:26:08,2.0,0.12,2.12,Card,2.0,BOGO,4,1.0
Alice,Boston Creme,Donut,2025-01-01 06:48:51,3.0,0.19,3.19,Card,0.0,,3,1.0
Alice,Donut Odyssey,Donut,2025-01-01 06:48:51,3.0,0.19,3.19,Card,0.0,,3,1.0
Alice,Boston Creme,Donut,2025-01-01 06:48:51,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Biscuits,Hot Foods,2025-01-01 06:48:51,9.0,0.56,9.56,Card,0.0,,3,3.0
Alice,Small Hot Dog,Hot Foods,2025-01-01 06:48:51,9.0,0.56,9.56,Card,0.0,,3,3.0
Alice,Frosted Donut Sprinkle,Donut,2025-01-01 03:12:31,2.0,0.12,2.12,Card,0.0,,2,1.0
Alice,Croissant Hot Dog,Hot Foods,2025-01-01 03:12:31,3.0,0.19,3.19,Card,0.0,,1,3.0
Alice,Blueberry,Donut,2025-01-01 03:12:31,2.0,0.12,2.12,Card,0.0,,2,1.0
Charlie,Frosted Donut,Donut,2025-01-01 20:05:27,2.0,0.12,2.12,Card,0.0,,2,1.0
Charlie,Blueberry Donut Hole,Donut,2025-01-01 20:05:27,3.0,0.19,3.19,Card,0.0,,3,1.0
Charlie,Biscuits,Hot Foods,2025-01-01 20:05:27,12.0,0.75,12.75,Card,0.0,,4,3.0
Charlie,Coffee,Drinks,2025-01-01 20:05:27,4.0,0.25,4.25,Card,0.0,,2,2.0
Hannah,Blueberry,Donut,2025-01-01 22:27:24,1.0,0.06,1.06,Card,0.0,,1,1.0
Bob,Croissant Hot Dog,Hot Foods,2025-01-01 19:12:40,3.0,0.19,3.19,Card,0.0,,1,3.0
Bob,Chocolate Sprinkle,Donut,2025-01-01 19:12:40,2.0,0.12,2.12,Card,0.0,,2,1.0
Bob,Coffee,Drinks,2025-01-01 19:12:40,2.0,0.12,2.12,Card,0.0,,1,2.0
Charlie,Frosted Donut,Donut,2025-01-01 00:50:41,2.0,0.12,2.12,Card,2.0,BOGO,4,1.0
Charlie,Jalapeno Hot Dog,Hot Foods,2025-01-01 00:50:41,6.0,0.38,6.38,Card,6.0,BOGO,4,3.0
Charlie,Coffee,Drinks,2025-01-01 00:50:41,8.0,0.5,8.5,Card,0.0,BOGO,4,2.0
Charlie,Starbucks Mocha,Drinks,2025-01-01 00:50:41,2.0,0.12,2.12,Card,0.0,BOGO,1,2.0
Alice,Starbucks Caramel,Drinks,2025-01-01 19:48:48,2.0,0.12,2.12,Cash,2.0,WINTER SPECIAL,2,2.0
Alice,Frosted Donut,Donut,2025-01-01 19:48:48,1.5,0.09,1.59,Cash,1.5,WINTER SPECIAL,3,1.0
Bob,Daring Donut,Donut,2025-01-01 16:36:48,4.0,0.25,4.25,Card,0.0,,4,1.0
Charlie,Starbucks Caramel,Drinks,2025-01-01 21:22:36,2.0,0.12,2.12,Card,0.0,,1,2.0
Hannah,Blueberry,Donut,2025-01-01 11:25:31,1.0,0.06,1.06,Card,0.0,,1,1.0
Hannah,Glaze Donut Hole,Donut,2025-01-01 11:25:31,3.0,0.19,3.19,Card,0.0,,3,1.0
Hannah,Small Hot Dog,Hot Foods,2025-01-01 11:25:31,6.0,0.38,6.38,Card,0.0,,2,3.0
Hannah,Cinnamon Swirl,Donut,2025-01-01 11:25:31,4.0,0.25,4.25,Card,0.0,,4,1.0
Charlie,Chocolate Sprinkle,Donut,2025-01-01 04:51:33,1.0,0.06,1.06,Cash,0.0,,1,1.0
Charlie,Redbull,Drinks,2025-01-01 04:51:33,8.0,0.5,8.5,Cash,0.0,,4,2.0
Charlie,Glaze,Donut,2025-01-01 04:51:33,3.0,0.19,3.19,Cash,0.0,,3,1.0
Charlie,Coffee,Drinks,2025-01-01 05:15:28,6.0,0.38,6.38,Card,0.0,,3,2.0
Charlie,Donut Odyssey,Donut,2025-01-01 05:15:28,2.0,0.12,2.12,Card,0.0,,2,1.0
Charlie,Boston Creme,Donut,2025-01-01 05:15:28,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Coffee,Drinks,2025-01-01 18:19:31,6.0,0.38,6.38,Cash,0.0,,3,2.0
Grace,Starbucks Caramel,Drinks,2025-01-01 18:19:31,4.0,0.25,4.25,Cash,0.0,,2,2.0
Grace,Chocolate,Donut,2025-01-01 18:19:31,4.0,0.25,4.25,Cash,0.0,,4,1.0
Grace,Redbull,Drinks,2025-01-01 18:19:31,2.0,0.12,2.12,Cash,0.0,,1,2.0
Frank,Small Hot Dog,Hot Foods,2025-01-01 10:27:56,6.0,0.38,6.38,Card,0.0,,2,3.0
Charlie,Ham and Cheese,Hot Foods,2025-01-01 02:06:59,3.0,0.19,3.19,Cash,0.0,,1,3.0
Charlie,Cinnamon Swirl,Donut,2025-01-01 02:06:59,2.0,0.12,2.12,Cash,0.0,,2,1.0
Bob,Small Hot Dog,Hot Foods,2025-01-01 00:47:11,3.0,0.19,3.19,Cash,0.0,,1,3.0
Bob,Jalapeno Hot Dog,Hot Foods,2025-01-01 00:47:11,3.0,0.19,3.19,Cash,0.0,,1,3.0
Bob,Frosted Donut Sprinkle,Donut,2025-01-01 00:47:11,3.0,0.19,3.19,Cash,0.0,,3,1.0
Bob,Chocolate Donut Hole,Donut,2025-01-01 00:47:11,3.0,0.19,3.19,Cash,0.0,,3,1.0
Bob,Biscuits,Hot Foods,2025-01-01 00:47:11,12.0,0.75,12.75,Cash,0.0,,4,3.0
Frank,Redbull,Drinks,2025-01-01 15:02:19,4.0,0.25,4.25,Card,4.0,WINTER SPECIAL,4,2.0
Grace,Tropicana,Drinks,2025-01-01 03:37:39,2.0,0.12,2.12,Card,0.0,,1,2.0
Grace,Redbull,Drinks,2025-01-01 03:37:39,6.0,0.38,6.38,Card,0.0,,3,2.0
Grace,Ham and Cheese,Hot Foods,2025-01-01 03:37:39,3.0,0.19,3.19,Card,0.0,,1,3.0
Grace,Chocolate Donut Hole,Donut,2025-01-01 03:37:39,1.0,0.06,1.06,Card,0.0,,1,1.0
Hannah,Redbull,Drinks,2025-01-01 17:45:17,2.0,0.12,2.12,Card,0.0,,1,2.0
Hannah,Frosted Donut,Donut,2025-01-01 17:45:17,4.0,0.25,4.25,Card,0.0,,4,1.0
Alice,Biscuits,Hot Foods,2025-01-01 00:03:32,12.0,0.75,12.75,Card,0.0,,4,3.0
Alice,Tropicana,Drinks,2025-01-01 00:03:32,6.0,0.38,6.38,Card,0.0,,3,2.0
Alice,Diet Coke,Drinks,2025-01-01 00:03:32,6.0,0.38,6.38,Card,0.0,,3,2.0
Alice,Biscuits,Hot Foods,2025-01-01 00:03:32,3.0,0.19,3.19,Card,0.0,,1,3.0
Alice,Strawberry,Donut,2025-01-01 00:03:32,4.0,0.25,4.25,Card,0.0,,4,1.0
Bob,Croissant Hot Dog,Hot Foods,2025-01-01 00:47:11,3.0,0.19,3.19,Card,3.0,WINTER SPECIAL,2,3.0
Bob,Strawberry,Donut,2025-01-01 00:47:11,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Bob,Jalapeno Hot Dog,Hot Foods,2025-01-01 00:47:11,3.0,0.19,3.19,Card,3.0,WINTER SPECIAL,2,3.0
Bob,Ham and Cheese,Hot Foods,2025-01-01 05:44:50,3.0,0.19,3.19,Card,0.0,,1,3.0
Bob,Boston Creme,Donut,2025-01-01 05:44:50,4.0,0.25,4.25,Card,0.0,,4,1.0
Bob,Starbucks Mocha,Drinks,2025-01-01 05:44:50,6.0,0.38,6.38,Card,0.0,,3,2.0
Bob,Starbucks Caramel,Drinks,2025-01-01 00:04:59,8.0,0.5,8.5,Card,0.0,,4,2.0
Bob,Jalapeno Hot Dog,Hot Foods,2025-01-01 00:04:59,3.0,0.19,3.19,Card,0.0,,1,3.0
Bob,Chocolate,Donut,2025-01-01 00:04:59,4.0,0.25,4.25,Card,0.0,,4,1.0
Bob,Frosted Donut,Donut,2025-01-01 00:04:59,1.0,0.06,1.06,Card,0.0,,1,1.0
Bob,Frosted Donut,Donut,2025-01-01 00:04:59,4.0,0.25,4.25,Card,0.0,,4,1.0
Grace,Diet Coke,Drinks,2025-01-01 13:52:05,2.0,0.12,2.12,Card,0.0,,1,2.0
Grace,Blueberry,Donut,2025-01-01 13:52:05,1.0,0.06,1.06,Card,0.0,,1,1.0
Grace,Blueberry Donut Hole,Donut,2025-01-01 13:52:05,2.0,0.12,2.12,Card,0.0,,2,1.0
Bob,Donut Odyssey,Donut,2025-01-01 20:30:34,0.5,0.03,0.53,Cash,0.5,WINTER SPECIAL,1,1.0
Bob,Redbull,Drinks,2025-01-01 20:30:34,4.0,0.25,4.25,Cash,4.0,WINTER SPECIAL,4,2.0
Bob,Starbucks Caramel,Drinks,2025-01-01 20:30:34,3.0,0.19,3.19,Cash,3.0,WINTER SPECIAL,3,2.0
Bob,Biscuits,Hot Foods,2025-01-01 20:30:34,1.5,0.09,1.59,Cash,1.5,WINTER SPECIAL,1,3.0
Grace,Starbucks Mocha,Drinks,2025-01-01 02:17:24,8.0,0.5,8.5,Cash,0.0,,4,2.0
Grace,Boston Creme,Donut,2025-01-01 02:17:24,2.0,0.12,2.12,Cash,0.0,,2,1.0
Charlie,Donut Odyssey,Donut,2025-01-01 23:49:31,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Charlie,Donut Odyssey,Donut,2025-01-01 23:49:31,0.5,0.03,0.53,Card,0.5,WINTER SPECIAL,1,1.0
Hannah,Glaze Donut Hole,Donut,2025-01-01 07:32:08,2.0,0.12,2.12,Card,0.0,,2,1.0
Hannah,Chocolate Sprinkle,Donut,2025-01-01 07:32:08,3.0,0.19,3.19,Card,0.0,,3,1.0
Hannah,Blueberry Donut Hole,Donut,2025-01-01 07:32:08,2.0,0.12,2.12,Card,0.0,,2,1.0
Frank,Sprite,Drinks,2025-01-01 02:49:24,8.0,0.5,8.5,Card,0.0,BOGO,4,2.0
Frank,Croissant Hot Dog,Hot Foods,2025-01-01 02:49:24,3.0,0.19,3.19,Card,0.0,BOGO,1,3.0
Frank,Sprite,Drinks,2025-01-01 02:49:24,8.0,0.5,8.5,Card,0.0,BOGO,4,2.0
Frank,Sprite,Drinks,2025-01-01 02:49:24,2.0,0.12,2.12,Card,0.0,BOGO,1,2.0
Frank,Biscuits,Hot Foods,2025-01-01 02:49:24,6.0,0.38,6.38,Card,6.0,BOGO,4,3.0
Frank,Glaze,Donut,2025-01-01 13:15:13,1.0,0.06,1.06,Cash,1.0,WINTER SPECIAL,2,1.0
Frank,Chocolate Donut Hole,Donut,2025-01-01 13:15:13,1.0,0.06,1.06,Cash,1.0,WINTER SPECIAL,2,1.0
Frank,Boston Creme,Donut,2025-01-01 13:15:13,2.0,0.12,2.12,Cash,2.0,WINTER SPECIAL,4,1.0
Frank,Sprite,Drinks,2025-01-01 13:15:13,3.0,0.19,3.19,Cash,3.0,WINTER SPECIAL,3,2.0
Bob,Chocolate,Donut,2025-01-01 21:50:24,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Bob,Chocolate Sprinkle,Donut,2025-01-01 21:50:24,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Alice,Croissant Hot Dog,Hot Foods,2025-01-01 21:48:51,12.0,0.75,12.75,Cash,0.0,,4,3.0
